Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Torrent Pharmaceuticals","https://scanx.trade/company/torrent-pharmaceuticals-ltd","4,901.50","0.07%","4,866.00","9,63,130","1,65,889.03","77.50","26.60","4,948.00","3,307.60","9.58%","19.71%","46.15%","156.36%","226.22%","19.76","0.78%","24.16%","9.06%","49.44","4,490.47","4,061.88","76.03","78.00%","87.50%"
"Solar Industries","https://scanx.trade/company/solar-industries-ltd","18,236.00","4.93%","17,466.00","2,18,676","1,65,017.66","90.55","13.83","18,972.00","11,646.00","-0.17%","30.93%","10.51%","413.63%","1,033.02%","25.05","0.06%","25.54%","30.18%","102.22","17,568.66","14,541.20","53.59","74.84%","86.22%"
"Pidilite Industries","https://scanx.trade/company/pidilite-industries-ltd","1,598.50","0.51%","1,604.00","7,38,374","1,62,691.39","65.55","13.83","1,626.70","1,259.00","7.88%","18.64%","4.88%","23.16%","40.35%","14.95","0.72%","20.28%","28.48%","36.93","1,506.88","1,464.67","59.98","78.00%","87.50%"
"Varun Beverages","https://scanx.trade/company/varun-beverages-ltd","478.10","-0.69%","485.50","99,67,759","1,61,707.58","50.72","41.55","555.80","381.00","-9.75%","13.05%","2.65%","47.15%","365.67%","8.32","0.31%","29.67%","19.45%","18.65","514.98","472.67","35.03","75.00%","87.50%"
"Hyundai Motor India","https://scanx.trade/company/hyundai-motor-india-ltd","1,984.90","3.05%","1,936.90","3,66,401","1,61,281.28","28.83","40.56","2,890.00","1,658.00","4.55%","12.25%","-5.07%","9.08%","9.08%","7.83","1.09%","-","40.99%","-","1,902.76","2,149.47","55.81","65.00%","87.50%"
"Jio Financial Services","https://scanx.trade/company/jio-financial-services-ltd","241.96","3.68%","235.00","2,77,14,158","1,59,769.61","98.90","23.37","338.60","223.30","3.31%","1.31%","-26.65%","-2.79%","-2.79%","1.09","0.25%","1.15%","1.49%","2.50","239.00","268.62","53.95","75.00%","87.50%"
"Cummins","https://scanx.trade/company/cummins-india-ltd","5,621.50","1.43%","5,567.00","4,63,881","1,55,827.98","65.02","77.00","6,100.00","3,465.00","-0.07%","14.55%","59.52%","196.92%","552.15%","18.12","1.19%","26.02%","32.98%","66.04","5,540.91","4,695.75","51.68","76.00%","87.50%"
"BSE","https://scanx.trade/company/bse-ltd","3,811.60","0.42%","3,815.00","23,55,651","1,55,469.09","62.32","-34.85","4,446.80","2,021.50","-4.62%","17.01%","51.03%","1,543.64%","3,408.15%","23.23","0.26%","22.34%","30.53%","44.38","3,960.05","3,044.43","45.23","65.00%","81.23%"
"Trent","https://scanx.trade/company/trent-ltd","2,902.80","-0.04%","2,934.00","10,93,622","1,54,792.39","89.96","14.76","3,782.69","2,183.68","4.75%","13.07%","-19.49%","159.70%","380.96%","22.17","0.09%","36.01%","28.23%","35.43","2,915.88","2,824.61","40.89","72.77%","84.40%"
"Cholamandalam Investment","https://scanx.trade/company/cholamandalam-investment-ltd","1,807.80","0.89%","1,804.90","7,41,849","1,54,112.87","29.21","23.37","1,875.00","1,299.40","20.89%","17.92%","15.65%","57.02%","248.12%","5.02","0.11%","17.41%","9.46%","43.53","1,631.44","1,642.65","62.60","75.93%","86.04%"
"Vodafone Idea","https://scanx.trade/company/vodafone-idea-ltd","14.19","1.07%","14.15","27,32,82,577","1,53,738.77","4.40","42.37","15.34","6.12","0.35%","55.59%","95.45%","91.76%","56.80%","-4.25","-","29.99%","-1.99%","-","13.62","10.95","51.66","65.99%","79.18%"
"Samvardhana Motherson International","https://scanx.trade/company/motherson-sumi-systems-ltd","143.19","0.27%","144.20","81,78,532","1,51,129.06","36.90","60.58","155.25","89.70","-0.60%","22.49%","38.64%","136.56%","64.17%","3.68","-","10.70%","14.07%","4.75","138.78","121.35","49.68","75.72%","85.59%"
"Hitachi Energy","https://scanx.trade/company/abb-power-products-systems-ltd","32,605.00","-0.02%","32,730.00","87,152","1,45,328.19","147.13","11.77","38,785.00","16,111.00","-5.79%","19.37%","64.13%","671.39%","1,595.70%","28.08","0.02%","12.04%","13.08%","40.53","34,398.30","24,617.70","43.96","50.00%","80.43%"
"ABB","https://scanx.trade/company/abb-ltd","6,836.00","0.23%","6,835.00","1,10,261","1,44,860.57","48.54","11.77","7,822.50","4,637.50","-1.37%","3.36%","15.90%","56.44%","298.96%","18.44","0.58%","21.00%","28.46%","75.95","6,923.18","5,914.50","45.29","75.96%","87.20%"
"CG Power & Industrial Solutions","https://scanx.trade/company/cg-power-and-industrial-solutions-ltd","916.60","0.63%","916.95","20,65,106","1,44,362.60","119.65","11.77","980.90","525.50","0.59%","27.20%","36.39%","135.84%","1,078.15%","17.99","0.14%","28.86%","19.34%","5.88","896.60","747.74","49.31","74.12%","85.63%"
