Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Oracle Financial Services Software","https://scanx.trade/company/oracle-financial-services-software-ltd","11,651.00","4.64%","11,340.00","4,62,353","1,01,438.65","36.72","25.01","11,360.00","6,234.50","20.87%","61.43%","30.35%","210.44%","195.41%","12.38","3.59%","28.24%","43.24%","269.28","9,949.42","8,364.58","74.71","75.09%","86.26%"
"Bharat Forge","https://scanx.trade/company/bharat-forge-ltd","2,117.00","-0.64%","2,143.40","4,95,091","1,01,211.36","93.48","27.67","2,238.00","1,100.50","9.95%","21.71%","67.82%","148.69%","162.00%","10.63","0.40%","12.70%","16.45%","22.02","1,989.79","1,632.93","58.27","76.00%","87.46%"
"United Spirits","https://scanx.trade/company/united-spirits-ltd","1,385.70","0.33%","1,384.90","5,68,746","1,00,789.01","54.61","51.92","1,488.00","1,210.80","10.22%","10.88%","1.08%","51.46%","111.48%","11.21","0.79%","19.77%","26.08%","19.42","1,310.93","1,353.08","57.54","76.00%","87.50%"
"Hero Motocorp","https://scanx.trade/company/hero-motocorp-ltd","4,949.10","1.03%","4,923.40","6,86,707","99,028.00","16.97","55.10","6,388.50","4,190.00","1.93%","-6.34%","14.22%","58.44%","70.85%","4.54","3.78%","20.98%","28.71%","204.10","4,973.62","5,430.11","51.69","76.00%","89.49%"
"Mazagon Dock Shipbuilders","https://scanx.trade/company/mazagon-dock-shipbuilders-ltd","2,420.10","1.99%","2,385.00","9,95,945","97,621.99","37.13","-34.85","3,326.00","2,057.40","-0.62%","-0.63%","-26.54%","234.46%","1,853.27%","9.82","0.76%","21.98%","34.51%","96.04","2,498.18","2,542.80","43.77","66.44%","82.64%"
"Shree Cement","https://scanx.trade/company/shree-cement-ltd","26,615.00","1.22%","26,460.00","6,542","96,028.91","54.28","42.87","32,490.00","22,550.00","13.67%","10.94%","-15.82%","10.82%","-3.23%","4.08","0.57%","11.55%","6.67%","582.58","25,076.70","26,260.03","61.24","78.00%","87.50%"
"Nykaa","https://scanx.trade/company/nykaa-ltd","330.10","1.87%","328.00","1,05,56,295","94,534.83","456.27","14.76","325.90","200.14","23.61%","29.49%","54.71%","136.72%","-10.21%","64.51","-","1.78%","12.91%","0.14","282.06","261.80","77.92","75.00%","87.50%"
"REC","https://scanx.trade/company/rural-electrification-corporation-ltd","351.95","-0.01%","354.00","40,23,218","92,676.32","5.68","33.85","408.25","304.05","-0.04%","1.49%","-10.11%","110.87%","222.86%","1.09","5.27%","20.40%","9.48%","55.59","350.21","356.88","46.49","72.32%","86.65%"
"Ashok Leyland","https://scanx.trade/company/ashok-leyland-ltd","157.49","1.48%","157.71","1,74,09,676","92,507.34","24.53","65.83","215.42","114.96","9.52%","-7.57%","25.54%","93.00%","152.19%","6.40","2.25%","22.82%","15.46%","8.52","156.38","165.57","49.65","76.00%","85.07%"
"ICICI Lombard General Insurance","https://scanx.trade/company/icici-lombard-general-insurance-ltd","1,826.20","1.76%","1,800.00","5,04,410","91,158.83","32.33","23.37","2,064.90","1,629.50","2.73%","3.26%","-9.60%","36.00%","16.42%","5.32","0.75%","15.72%","-8.32%","42.73","1,791.87","1,876.60","56.87","78.00%","87.50%"
"Aurobindo Pharma","https://scanx.trade/company/aurobindo-pharma-ltd","1,564.70","-1.43%","1,576.10","11,54,492","90,029.38","26.31","27.16","1,636.80","1,016.10","7.98%","16.73%","36.94%","112.74%","64.93%","2.43","0.25%","10.62%","15.74%","61.22","1,488.07","1,274.55","56.89","76.00%","87.50%"
"One 97 Communications","https://scanx.trade/company/paytm-ltd","1,341.80","6.25%","1,268.90","68,13,451","85,920.42","146.51","-34.85","1,381.80","902.00","25.17%","22.21%","47.82%","62.93%","-14.03%","5.05","-","-13.67%","-4.12%","-","1,130.40","1,187.76","77.05","68.53%","82.65%"
"Hindustan Petroleum","https://scanx.trade/company/hindustan-petroleum-ltd","395.30","0.82%","395.10","30,11,646","84,112.82","4.62","8.34","508.45","316.20","3.48%","10.42%","-11.26%","98.97%","112.56%","1.27","6.18%","34.13%","12.56%","46.45","388.73","421.51","50.95","74.69%","84.88%"
"Waaree Energies","https://scanx.trade/company/waaree-energies-ltd","2,922.90","2.08%","2,869.90","6,75,347","84,077.61","21.20","11.77","3,865.00","2,403.00","-3.88%","-9.57%","-6.30%","24.97%","24.97%","5.70","0.07%","-","24.78%","-","3,046.74","3,086.50","45.21","50.00%","83.19%"
"Laurus Labs","https://scanx.trade/company/laurus-labs-ltd","1,537.80","2.02%","1,517.00","20,41,624","83,019.15","91.21","27.16","1,555.00","775.15","7.96%","41.90%","93.58%","329.55%","126.08%","15.32","0.13%","4.09%","19.67%","2.75","1,373.71","1,096.45","64.70","75.20%","80.00%"
"SRF","https://scanx.trade/company/srf-ltd","2,774.60","0.64%","2,779.00","1,04,341","82,246.03","44.44","13.83","3,325.00","2,355.00","3.16%","15.62%","-15.42%","26.82%","82.45%","5.81","0.33%","11.64%","14.64%","41.45","2,707.10","2,788.77","54.13","76.00%","87.50%"
"Dixon Technologies","https://scanx.trade/company/dixon-technologies-ltd","13,421.00","-0.42%","13,875.00","16,89,462","81,983.41","50.16","16.61","18,471.00","9,600.00","15.59%","26.31%","-14.57%","216.65%","192.67%","17.64","0.07%","19.86%","41.33%","72.30","11,741.69","12,657.20","67.00","70.00%","83.30%"
"Federal Bank","https://scanx.trade/company/federal-bank-ltd","329.85","0.64%","330.30","54,00,203","81,417.70","18.02","21.00","334.30","185.11","4.68%","16.43%","54.21%","146.34%","285.34%","2.10","0.37%","12.70%","6.45%","16.45","305.57","269.76","64.45","76.00%","87.50%"
"L&T Finance","https://scanx.trade/company/lt-finance-holdings-ltd","321.25","0.05%","323.00","96,00,170","80,489.39","26.98","23.37","338.60","194.40","20.98%","18.03%","53.63%","142.27%","245.43%","2.87","0.86%","9.85%","10.11%","9.93","289.07","284.13","62.56","75.00%","85.63%"
"AU Small Finance Bank","https://scanx.trade/company/au-small-finance-bank-ltd","1,072.10","2.36%","1,052.00","14,70,963","80,272.37","29.70","21.00","1,090.40","682.15","9.57%","11.33%","29.83%","40.37%","79.48%","3.98","0.10%","38.28%","16.45%","23.05","1,011.76","946.61","61.13","76.00%","87.50%"
"NHPC","https://scanx.trade/company/nhpc-ltd","79.82","1.54%","78.85","62,53,523","80,179.47","18.71","23.78","89.75","71.62","7.86%","3.51%","-9.59%","73.52%","205.82%","1.90","2.05%","8.28%","6.14%","3.60","78.23","79.42","55.98","75.25%","87.50%"
"Persistent Systems","https://scanx.trade/company/persistent-systems-ltd","5,053.90","4.64%","4,926.40","12,05,108","79,725.27","40.84","25.01","6,599.00","4,244.50","0.72%","-7.63%","-11.71%","112.88%","264.23%","9.72","0.83%","22.06%","28.61%","76.02","4,909.60","5,482.29","57.61","75.19%","84.96%"
"Indusind Bank","https://scanx.trade/company/indusind-bank-ltd","1,015.80","0.06%","1,019.70","10,84,109","79,144.30","88.96","21.00","1,038.00","710.60","10.08%","24.71%","20.82%","-25.69%","-2.32%","1.21","0.15%","14.20%","5.98%","115.87","926.83","864.53","66.70","70.00%","85.89%"
"Dabur India","https://scanx.trade/company/dabur-india-ltd","443.50","0.08%","444.55","17,05,250","78,674.79","42.09","81.07","577.00","403.35","4.07%","3.28%","-15.06%","-22.56%","-25.54%","6.89","1.86%","17.58%","20.96%","10.60","441.94","480.37","54.43","78.00%","87.50%"
"Info Edge","https://scanx.trade/company/naukri-info-edge-ltd","1,204.05","0.18%","1,215.00","20,00,844","78,073.08","44.23","-34.85","1,485.00","908.30","22.54%","20.12%","-16.80%","38.98%","11.86%","2.06","0.70%","1.88%","4.80%","53.82","996.30","1,172.10","78.73","75.95%","86.92%"
"Nippon Life India AMC","https://scanx.trade/company/nippon-life-india-asset-management-ltd","1,212.70","-0.45%","1,224.00","4,38,739","77,464.87","50.94","23.37","1,233.50","780.25","11.79%","33.46%","51.40%","322.69%","220.95%","16.71","1.76%","27.78%","40.69%","19.06","1,116.39","943.91","60.72","65.60%","80.00%"
"Phoenix Mills","https://scanx.trade/company/phoenix-mills-ltd","2,138.90","2.44%","2,110.40","9,14,460","76,495.50","47.99","12.26","2,134.70","1,402.50","21.94%","25.09%","40.84%","171.16%","403.92%","6.80","0.12%","13.29%","10.43%","61.08","1,839.09","1,741.63","72.98","73.22%","87.11%"
"Swiggy","https://scanx.trade/company/swiggy-ltd","273.25","-2.74%","284.60","2,41,00,601","75,425.57","-18.66","-34.85","474.00","235.75","9.32%","0.50%","-28.12%","-40.08%","-40.08%","4.23","-","-","-25.96%","-","256.77","332.90","61.14","65.00%","84.13%"
"Yes Bank","https://scanx.trade/company/yes-bank-ltd","23.94","1.27%","23.90","4,44,92,915","75,137.81","21.12","21.00","25.78","17.20","2.44%","26.47%","20.24%","40.41%","80.68%","1.45","-","3.05%","5.95%","0.46","23.07","21.75","51.32","70.00%","87.17%"
"NMDC","https://scanx.trade/company/nmdc-ltd","84.92","0.59%","85.00","1,41,04,343","74,660.11","9.96","58.51","97.49","67.15","-5.69%","0.57%","25.07%","136.35%","115.53%","2.18","4.15%","24.47%","29.74%","20.82","88.70","81.62","42.85","75.15%","87.48%"
"Prestige Estates Projects","https://scanx.trade/company/prestige-estate-ltd","1,733.20","3.54%","1,694.00","8,71,915","74,654.16","55.28","12.26","1,814.00","1,090.00","28.01%","31.36%","5.04%","193.61%","484.85%","4.43","0.12%","10.40%","8.96%","33.42","1,465.16","1,510.58","71.99","72.15%","85.16%"
"Havells","https://scanx.trade/company/havells-india-ltd","1,188.40","-0.20%","1,205.70","24,10,663","74,579.43","44.26","11.77","1,621.10","1,123.60","3.29%","-5.46%","-22.01%","-7.96%","16.13%","7.91","0.84%","17.06%","22.11%","22.20","1,192.99","1,348.08","50.40","78.00%","87.50%"
"Suzlon Energy","https://scanx.trade/company/suzlon-ltd","53.92","0.41%","54.02","4,19,45,443","74,100.90","23.12","11.77","68.30","38.19","-2.37%","21.91%","-18.23%","210.78%","591.28%","7.74","-","262.69%","24.15%","0.68","55.39","51.71","41.84","50.00%","84.60%"
"ICICI Prudential Life Insurance","https://scanx.trade/company/icici-prudential-life-insurance-ltd","510.35","4.00%","492.00","29,17,046","74,037.34","44.26","23.37","706.80","459.50","7.50%","-5.83%","-24.99%","-14.23%","-16.79%","5.30","0.34%","7.73%","0.59%","6.03","506.50","586.34","57.22","76.00%","80.00%"
"PB FinTech","https://scanx.trade/company/policy-bazaar-ltd","1,580.40","0.50%","1,571.90","20,15,233","73,124.01","108.63","-104.12","1,974.00","1,364.00","5.55%","5.83%","-14.78%","125.61%","31.45%","9.95","-","-8.90%","6.22%","2.28","1,645.91","1,664.12","45.10","70.00%","85.17%"
"Fortis Healthcare","https://scanx.trade/company/fortis-healthcare-ltd","968.00","1.74%","959.00","17,81,037","73,079.95","67.48","81.20","1,104.30","757.15","-2.20%","13.88%","23.36%","200.02%","308.44%","7.26","0.11%","7.54%","9.86%","8.50","961.02","930.00","52.21","75.00%","87.50%"
"MCX","https://scanx.trade/company/multi-commodity-exchange-ltd","2,770.70","-0.53%","2,800.00","24,73,000","70,650.59","53.34","-34.85","3,480.00","1,460.80","-1.92%","4.26%","64.10%","778.72%","822.89%","24.94","0.29%","10.07%","24.11%","34.19","2,974.87","2,392.54","44.98","72.84%","80.00%"
"Oberoi Realty","https://scanx.trade/company/oberoi-realty-ltd","1,924.80","2.75%","1,890.10","7,52,660","69,986.16","27.17","12.26","1,986.10","1,391.20","17.91%","16.41%","5.12%","89.09%","187.05%","3.80","0.43%","13.92%","16.74%","60.22","1,702.83","1,635.97","69.71","75.70%","87.50%"
"IDFC First Bank","https://scanx.trade/company/idfc-first-bank-ltd","80.83","1.72%","79.90","1,47,03,154","69,620.70","42.50","21.00","87.00","58.08","9.69%","23.82%","4.36%","1.99%","50.38%","1.45","0.31%","9.12%","5.55%","3.82","73.70","75.51","62.59","76.00%","87.00%"
"Steel Authority of India","https://scanx.trade/company/steel-authority-of-india-ltd","167.95","1.24%","168.08","1,20,23,050","69,372.17","20.30","20.56","209.70","118.10","-9.70%","2.82%","25.45%","86.51%","34.31%","1.14","1.42%","3.98%","6.70%","9.38","184.97","155.97","40.23","73.43%","84.69%"
"Oil India","https://scanx.trade/company/oil-india-ltd","424.95","0.45%","424.40","20,41,349","69,122.70","9.12","241.70","531.00","384.60","-10.72%","-9.73%","-4.59%","150.12%","267.38%","1.19","2.72%","23.55%","11.77%","51.54","457.47","446.78","43.62","72.79%","85.69%"
"Biocon","https://scanx.trade/company/biocon-ltd","418.50","3.70%","407.20","43,24,350","67,834.99","178.61","27.16","440.40","331.00","0.52%","21.06%","12.03%","64.31%","7.71%","1.91","0.12%","5.13%","6.26%","13.00","411.79","384.57","53.16","75.63%","87.50%"
"Alkem Laboratories","https://scanx.trade/company/alkem-laboratories-ltd","5,669.50","0.37%","5,699.00","1,04,124","67,787.38","28.72","27.16","5,933.50","4,716.20","5.86%","5.57%","17.98%","62.56%","69.20%","4.89","0.94%","16.91%","19.29%","179.80","5,441.13","5,531.48","66.06","78.00%","87.50%"
"UNO Minda","https://scanx.trade/company/minda-industries-ltd","1,166.10","1.00%","1,165.00","9,25,292","67,349.14","51.88","60.58","1,382.00","994.00","6.59%","10.57%","5.27%","102.52%","256.71%","9.76","0.23%","17.56%","20.72%","15.45","1,107.85","1,182.76","62.24","70.00%","70.00%"
"Bank of India","https://scanx.trade/company/bank-of-india-ltd","144.90","4.60%","139.80","1,41,84,717","65,968.16","6.12","8.71","178.36","108.81","-1.91%","0.42%","25.01%","85.18%","92.30%","0.77","3.35%","9.28%","5.42%","15.14","142.17","145.38","53.12","70.00%","86.06%"
"NALCO","https://scanx.trade/company/national-aluminium-company-ltd","354.85","1.53%","355.00","94,56,829","65,172.88","11.07","8.60","445.15","179.93","-7.57%","-13.94%","90.54%","325.73%","315.76%","2.97","3.00%","10.93%","36.82%","10.50","386.05","333.63","45.80","71.97%","82.39%"
"Glenmark Pharmaceuticals","https://scanx.trade/company/glenmark-pharmaceuticals-ltd","2,282.90","0.69%","2,283.90","6,02,305","64,423.62","46.94","27.16","2,474.00","1,792.60","3.32%","5.25%","25.52%","243.91%","243.14%","6.08","0.11%","3.84%","15.93%","-","2,259.39","2,076.48","58.18","75.73%","87.50%"
"Godrej Properties","https://scanx.trade/company/godrej-properties-ltd","2,133.00","5.08%","2,048.40","12,96,667","64,251.50","33.23","12.26","2,407.90","1,434.00","26.64%","25.80%","-5.41%","35.54%","44.08%","3.19","0.49%","7.25%","8.74%","40.29","1,805.62","1,886.69","74.83","73.82%","84.95%"
"Motilal Oswal Financial Services","https://scanx.trade/company/motilal-oswal-financial-services-ltd","979.35","3.91%","950.05","13,44,271","58,971.24","30.29","23.37","1,097.10","614.90","13.31%","28.67%","5.87%","433.04%","297.22%","4.40","0.64%","27.89%","17.80%","46.83","888.95","857.35","63.12","61.83%","80.00%"
"SBI Cards","https://scanx.trade/company/sbi-cards-ltd","611.65","3.99%","590.00","12,54,626","58,205.18","25.83","23.37","1,004.75","565.45","4.56%","-8.56%","-34.55%","-26.82%","-37.23%","3.56","0.43%","19.93%","20.03%","25.33","615.08","762.18","51.97","76.00%","87.50%"
"Tube Investment","https://scanx.trade/company/tube-invest-of-india-ltd","2,958.40","1.45%","2,919.40","76,136","57,263.47","50.48","20.56","3,419.90","2,164.90","-4.74%","7.84%","2.18%","-5.81%","171.23%","7.28","0.12%","17.60%","15.90%","34.13","3,045.41","2,826.57","43.01","74.32%","85.41%"
"Max Financial Services","https://scanx.trade/company/max-financial-services-ltd","1,633.10","3.57%","1,587.00","7,74,815","56,360.69","515.28","-34.85","1,892.50","1,433.60","2.45%","1.60%","4.44%","101.78%","51.60%","10.30","-","8.99%","6.69%","11.00","1,626.59","1,646.65","52.56","75.00%","87.50%"
"Colgate Palmolive","https://scanx.trade/company/colgate-palmolive-ltd","2,052.40","-0.51%","2,069.40","1,20,766","55,822.33","42.32","37.06","2,504.00","1,782.00","1.43%","7.64%","-15.84%","15.35%","19.05%","35.41","2.81%","70.62%","107.36%","51.99","2,075.68","2,118.63","51.26","78.00%","87.50%"
"Vishal Mega Mart","https://scanx.trade/company/vishal-mega-mart-ltd","118.79","1.80%","118.19","57,62,497","55,550.66","65.20","14.76","157.60","98.77","0.45%","6.00%","-9.51%","6.13%","6.13%","7.36","-","-","13.04%","-","119.90","127.11","50.78","65.00%","87.50%"
"Radico Khaitan","https://scanx.trade/company/radico-khaitan-ltd","4,073.70","-0.37%","4,120.80","3,03,434","54,559.61","90.65","51.92","4,161.80","2,500.00","16.37%","49.93%","52.24%","202.23%","423.48%","16.53","0.22%","10.75%","17.41%","20.28","3,626.07","3,151.83","71.86","69.04%","80.00%"
"Coforge","https://scanx.trade/company/coforge-ltd","1,503.80","2.40%","1,495.80","27,50,522","52,410.77","36.20","25.01","1,989.70","1,008.10","6.50%","18.89%","-22.14%","63.06%","72.59%","2.38","0.21%","22.42%","14.67%","114.98","1,398.33","1,526.22","56.95","75.26%","84.01%"
"APL Apollo Tubes","https://scanx.trade/company/apl-apollo-tubes-ltd","1,835.90","2.80%","1,804.00","5,74,806","50,975.31","41.22","20.56","2,301.40","1,492.00","2.05%","-10.02%","7.47%","40.35%","137.86%","9.36","0.48%","21.36%","22.02%","26.38","1,845.85","1,894.43","52.86","76.00%","87.50%"
"Premier Energies","https://scanx.trade/company/premier-energies-ltd","1,117.20","2.57%","1,099.00","24,53,790","50,608.53","32.72","14.76","1,136.40","660.00","2.81%","16.81%","4.01%","33.02%","33.02%","11.47","0.02%","-","34.93%","-","1,038.16","937.28","66.84","60.00%","85.06%"
"UPL","https://scanx.trade/company/upl-united-phosphorus-ltd","594.75","2.22%","585.00","8,72,284","50,206.97","22.12","58.36","812.20","563.15","-5.35%","-7.36%","-10.53%","-6.07%","-23.88%","1.42","1.03%","-5.74%","7.50%","-","622.05","682.61","46.46","76.00%","86.67%"
"Bharat Dynamics","https://scanx.trade/company/bharat-dynamics-ltd","1,344.50","1.37%","1,330.00","8,51,349","49,284.33","115.61","298.93","1,998.00","1,086.00","11.78%","1.43%","-32.27%","148.88%","604.48%","11.46","0.37%","10.97%","10.19%","15.77","1,319.11","1,396.45","51.81","70.06%","82.87%"
"KEI Industries","https://scanx.trade/company/kei-industries-ltd","5,149.50","2.84%","5,037.00","2,47,260","49,229.53","52.07","20.83","5,708.00","3,601.10","-2.49%","16.59%","39.40%","123.94%","604.11%","7.18","0.09%","18.44%","16.86%","67.58","5,238.89","4,539.73","45.18","70.00%","80.00%"
"Kalyan Jewellers","https://scanx.trade/company/kalyan-jewellers-ltd","476.15","7.48%","451.10","11,54,87,371","49,173.92","33.99","107.24","617.70","327.05","34.11%","6.74%","-17.73%","190.69%","514.39%","7.28","0.56%","14.24%","20.89%","6.12","374.94","432.50","74.45","70.00%","79.85%"
"Rail Vikas Nigam","https://scanx.trade/company/rail-vikas-nigam-ltd","232.67","2.85%","226.99","68,55,244","48,512.16","54.13","12.26","400.70","221.55","-0.52%","-14.72%","-39.58%","90.32%","623.70%","4.80","0.76%","19.39%","14.76%","6.98","255.94","302.04","41.51","67.60%","83.07%"
"360 One WAM","https://scanx.trade/company/360-one-wam-ltd","1,129.00","2.62%","1,106.80","21,89,046","45,892.34","36.81","23.37","1,236.20","906.05","5.02%","13.11%","-5.49%","132.74%","272.74%","4.55","1.09%","23.31%","14.83%","25.49","1,097.82","1,100.39","55.45","72.72%","86.50%"
"Patanjali Foods","https://scanx.trade/company/ruchi-soya-industries-ltd","413.80","0.38%","413.25","13,43,933","45,025.93","24.72","24.50","653.93","406.35","-1.95%","-9.98%","-25.24%","2.65%","12.15%","3.43","0.85%","1.75%","15.86%","25.98","436.83","512.45","38.74","75.00%","87.50%"
"Mphasis","https://scanx.trade/company/mphasis-ltd","2,321.90","2.68%","2,292.20","6,64,698","44,318.83","23.18","25.01","3,037.20","2,013.00","-0.79%","-2.66%","-18.93%","23.20%","4.15%","4.02","2.74%","17.68%","23.05%","82.67","2,254.40","2,532.22","54.38","76.00%","87.50%"
"Page Industries","https://scanx.trade/company/page-industries-ltd","39,395.00","-3.00%","40,605.00","46,753","43,940.69","59.26","18.83","49,380.00","29,805.00","1.26%","9.58%","-18.92%","8.27%","25.63%","30.12","1.36%","35.64%","62.78%","516.64","38,841.90","37,173.77","44.94","78.00%","87.50%"
"Voltas","https://scanx.trade/company/voltas-ltd","1,286.70","1.36%","1,275.00","4,87,361","42,574.94","113.49","-68.85","1,582.50","1,186.80","-1.36%","0.22%","-5.87%","69.74%","26.72%","6.58","0.32%","4.24%","9.26%","13.81","1,302.99","1,374.18","47.81","76.00%","86.91%"
"Supreme Industries","https://scanx.trade/company/supreme-industries-ltd","3,319.60","2.82%","3,241.00","1,74,648","42,167.84","42.91","28.46","4,664.90","3,140.00","-5.15%","-11.99%","-20.86%","3.87%","53.28%","6.64","1.12%","20.94%","19.93%","88.76","3,487.65","3,688.40","45.69","74.61%","87.50%"
"Petronet LNG","https://scanx.trade/company/petronet-lng-ltd","278.95","0.65%","279.80","7,15,028","41,842.50","10.62","-34.85","326.40","235.35","3.78%","2.79%","-8.72%","22.05%","24.53%","1.86","1.08%","20.26%","23.63%","26.26","276.41","279.25","51.02","76.00%","80.00%"
"Sona BLW Precision Forgings","https://scanx.trade/company/sona-blw-precision-forgings-ltd","668.55","-0.33%","676.35","12,38,095","41,585.70","66.25","60.58","680.80","402.30","11.08%","27.82%","46.74%","25.13%","58.33%","6.97","0.51%","18.49%","13.26%","9.41","607.29","521.26","70.53","75.15%","86.73%"
"PI Industries","https://scanx.trade/company/pi-industries-ltd","2,607.40","0.38%","2,596.00","1,88,072","39,558.98","29.86","58.36","4,330.00","2,541.00","-9.04%","-9.49%","-37.45%","-29.13%","-12.86%","3.51","0.58%","19.26%","20.62%","115.17","2,833.15","3,161.74","39.70","76.00%","87.50%"
"Delhivery","https://scanx.trade/company/delhivery-ltd","520.30","0.90%","524.00","1,39,14,959","38,962.57","252.75","-34.85","523.00","374.45","18.41%","10.74%","23.50%","30.50%","-2.99%","3.99","-","-2.72%","2.66%","-","466.96","441.28","67.09","75.00%","70.00%"
"Cochin Shipyard","https://scanx.trade/company/cochin-shipyard-ltd","1,418.00","0.80%","1,417.00","12,34,073","37,304.85","51.64","-34.85","2,064.00","1,187.00","-1.61%","-0.41%","-30.36%","386.78%","631.30%","6.30","0.11%","-","19.01%","-","1,525.98","1,584.94","42.22","0.00%","81.92%"
"Nuvama Wealth Management","https://scanx.trade/company/nuvama-wealth-management-ltd","1,977.60","2.22%","1,960.00","5,12,282","36,088.26","33.94","23.37","1,955.00","1,096.90","27.03%","52.73%","35.27%","278.49%","278.49%","8.61","0.72%","21.55%","23.65%","203.79","1,611.29","1,421.72","74.32","50.00%","75.00%"
"Exide Industries","https://scanx.trade/company/exide-industries-ltd","424.40","-0.19%","429.00","35,13,217","36,074.00","41.99","60.58","431.00","287.00","8.00%","36.35%","9.52%","69.02%","133.12%","2.60","0.47%","6.84%","8.89%","10.29","380.05","360.84","68.20","76.00%","87.40%"
"Astral","https://scanx.trade/company/astral-poly-technik-ltd","1,333.80","1.27%","1,323.90","5,36,850","35,832.56","66.24","28.46","1,768.70","1,263.70","-12.60%","-14.70%","-10.64%","-25.30%","-12.55%","8.73","0.19%","16.69%","19.01%","20.35","1,501.01","1,502.44","33.03","76.00%","87.50%"
"IREDA","https://scanx.trade/company/ireda-ltd","126.40","3.77%","122.20","67,90,090","35,508.68","18.25","33.85","170.16","108.65","3.21%","2.66%","-23.81%","110.67%","110.67%","2.48","1.11%","11.56%","8.35%","1.29","127.65","133.96","50.50","70.02%","85.01%"
"Container Corporation of India","https://scanx.trade/company/container-corporation-of-india-ltd","463.75","1.45%","462.00","29,60,717","35,320.03","27.94","-34.85","629.20","421.45","2.38%","-3.84%","-24.64%","-13.69%","-13.99%","2.69","0.96%","10.36%","13.49%","20.90","483.14","501.03","45.72","76.00%","87.50%"
"Blue Star","https://scanx.trade/company/blue-star-ltd","1,662.00","2.87%","1,618.90","3,83,021","34,173.18","62.94","-68.85","2,040.00","1,450.00","5.81%","0.39%","-8.16%","110.27%","286.29%","9.67","0.56%","15.86%","25.16%","24.34","1,646.77","1,785.78","55.92","74.31%","86.36%"
"Bandhan Bank","https://scanx.trade/company/bandhan-bank-ltd","210.00","5.07%","201.00","2,02,11,763","33,831.38","26.34","21.00","218.13","134.25","1.48%","26.55%","17.96%","-8.14%","-33.70%","1.28","0.75%","10.32%","7.35%","15.97","203.19","169.98","55.59","59.47%","80.00%"
"Dalmia Bharat","https://scanx.trade/company/dalmia-bharat-ltd","1,786.50","2.54%","1,742.30","2,08,112","33,508.66","28.25","-173.93","2,496.30","1,605.00","8.16%","-6.50%","-17.89%","-14.98%","-15.72%","1.82","0.52%","5.17%","6.98%","49.19","1,759.14","1,987.73","57.04","75.00%","80.00%"
"Godfrey Phillips","https://scanx.trade/company/godfrey-phillips-india-ltd","2,115.30","0.58%","2,113.40","1,07,592","32,994.82","21.50","16.16","3,947.00","1,832.10","-6.53%","3.96%","-25.35%","277.03%","526.66%","5.28","2.38%","20.86%","26.74%","172.61","2,260.77","2,486.20","38.04","57.79%","77.45%"
"Manappuram Finance","https://scanx.trade/company/manappuram-finance-ltd","341.30","2.66%","334.20","19,12,160","32,059.54","31.41","23.37","347.90","245.15","11.08%","29.80%","30.52%","159.25%","92.17%","1.94","0.75%","18.98%","10.79%","26.55","316.01","292.31","61.72","73.96%","80.00%"
"Angel One","https://scanx.trade/company/angel-broking-ltd","346.05","1.45%","345.15","40,99,400","31,606.46","34.03","23.37","360.45","208.63","2.52%","22.80%","26.51%","102.38%","258.53%","5.09","7.24%","37.04%","27.12%","132.93","332.04","272.55","54.79","69.05%","80.00%"
"LIC Housing Finance","https://scanx.trade/company/lic-housing-finance-ltd","549.15","1.73%","541.00","14,62,462","30,206.71","5.30","33.81","646.50","458.90","-0.65%","3.17%","-9.10%","40.84%","20.49%","0.72","1.85%","15.12%","9.65%","86.33","552.06","542.59","50.62","76.00%","87.50%"
"CDSL","https://scanx.trade/company/central-depository-services-ltd","1,431.90","6.34%","1,353.50","91,78,914","29,926.71","61.85","-34.85","1,784.80","1,116.30","18.11%","11.93%","-18.71%","137.21%","172.08%","14.36","0.95%","27.84%","37.66%","45.91","1,265.92","1,388.48","68.95","72.64%","80.00%"
"PNB Housing Finance","https://scanx.trade/company/pnb-housing-finance-ltd","1,110.60","2.45%","1,094.00","9,81,785","28,941.12","12.34","33.81","1,116.50","729.60","12.30%","28.70%","1.08%","84.79%","76.93%","1.47","0.74%","10.07%","9.27%","61.35","1,040.74","921.27","65.92","73.81%","80.00%"
"Jubilant FoodWorks","https://scanx.trade/company/jubilant-foodworks-ltd","438.05","2.03%","434.15","21,19,387","28,904.52","63.79","36.24","695.50","408.80","3.61%","2.38%","-35.86%","-9.02%","-29.55%","12.36","0.28%","17.86%","12.94%","4.12","439.27","516.86","53.39","76.00%","86.94%"
"Amber Enterprises","https://scanx.trade/company/amber-enterprises-india-ltd","7,779.00","2.35%","7,636.00","3,11,170","27,434.80","118.26","-68.85","8,974.00","5,400.50","0.69%","12.93%","1.14%","255.45%","160.04%","6.13","-","6.59%","14.95%","47.37","7,763.80","7,357.58","54.26","69.46%","80.00%"
"NBCC","https://scanx.trade/company/nbcc-ltd","99.98","2.28%","98.59","1,08,32,235","26,994.60","35.53","-34.85","125.85","77.18","-5.53%","13.83%","-12.71%","264.89%","184.84%","8.74","1.04%","13.09%","26.58%","3.11","100.55","102.92","45.56","69.79%","80.00%"
